Probability,Num Builders,Num Searchers,Avg Bid,Avg Rebate,Avg Reward Builders,Avg Reward Searchers,Avg Reward Proposers
0.2,1,9,0.3030558781390458,0.03780645161290322,0.27658989863459654,0.04717353816028927,0.0
0.2,2,8,0.37421397415079977,0.5990645161290322,0.060995640171984576,0.0634899434753142,0.22703637861898773
0.2,3,7,0.33032501710098133,0.7114494623655914,0.02553106924494968,0.06805159543654118,0.2596493192302463
0.2,4,6,0.3224508322225662,0.7846016129032259,0.016288273111126367,0.07100058313581736,0.27241290484553093
0.2,5,5,0.31287921811041713,0.8036967741935485,0.010346965011610004,0.07614935489240804,0.2667344146035842
0.2,6,4,0.3406315564773565,0.7312989247311827,0.011463035357775287,0.07749881446713754,0.2686128506969194
0.2,7,3,0.2667889695291698,0.7426995391705069,0.009805385455101194,0.09324248011584878,0.2355385566262876
0.2,8,2,0.25227003439151163,0.6530403225806451,0.009703388131407843,0.10512490150914015,0.22159135356685522
0.2,9,1,0.20254865098233638,0.5226888888888889,0.007312958729483033,0.13329270785427322,0.20390254750618148
0.21,1,9,0.35579054447553793,0.06617419354838708,0.29380892137524584,0.04496574939749184,0.0
0.21,2,8,0.3820538119212017,0.6358870967741935,0.05633562628929808,0.06269312057162112,0.2247666922049138
0.21,3,7,0.3578236598464312,0.7540279569892473,0.021375638503970056,0.0663537106337628,0.2753538703806485
0.21,4,6,0.34210209105970396,0.7741677419354838,0.015593807203831956,0.06876004876194246,0.27917874641722396
0.21,5,5,0.335100027164834,0.7827625806451612,0.01204242517209483,0.07341423920430944,0.27246783928611923
0.21,6,4,0.3062371506790367,0.7576075268817204,0.010432312802345004,0.08055464898912104,0.2565362902035301
0.21,7,3,0.2916474344046645,0.6860995391705069,0.009838397604496904,0.08887446106707139,0.24359519229986187
0.21,8,2,0.2735199536837832,0.6737758064516128,0.010153984912938858,0.10448994693814055,0.22464139561878463
0.21,9,1,0.14720015625060096,0.4919698924731183,0.007987706465560622,0.13647592088307342,0.20023474225145627
0.22,1,9,0.3694219675106928,0.07351612903225804,0.2932565688239346,0.04333675513801143,0.0
0.22,2,8,0.38379062601707925,0.6205354838709678,0.06276227376696535,0.06185473803153237,0.22175362414736427
0.22,3,7,0.35889135412543915,0.716789247311828,0.025761277998583076,0.06530224157905816,0.2728373218802127
