Probability,Num Builders,Num Searchers,Avg Bid,Avg Rebate,Avg Reward Builders,Avg Reward Searchers,Avg Reward Proposers
0.0,1,9,0.12049251573718138,0.0843806451612903,0.18979899198797073,0.09041641637315254,0.0
0.0,2,8,0.19989193718491166,0.6588387096774194,0.041409594614806616,0.09072130068249853,0.1966889082392613
0.0,3,7,0.20173000648889108,0.7296236559139785,0.021312155661933934,0.08983119914128955,0.2299506211482057
0.0,4,6,0.2061865805633226,0.7591564516129032,0.016390516360954892,0.09176564011537376,0.23636884798668217
0.0,5,5,0.20059802076009095,0.7560967741935485,0.01295267815128876,0.0952397051678209,0.22979500380143075
0.0,6,4,0.20793975823905847,0.7380129032258065,0.009894841990589074,0.09757826968554387,0.23010228379446956
0.0,7,3,0.22066218248185354,0.6944663594470046,0.011559660043601816,0.10117307962320746,0.2270061307317563
0.0,8,2,0.2168523535719586,0.6692201612903226,0.00922860094497476,0.1128924900189697,0.2158300543526451
0.0,9,1,0.18336852840967494,0.5685985663082437,0.008699550081803835,0.13883158605081464,0.20054347753295074
0.1,1,9,0.1996861337288202,0.06738064516129032,0.22599976898839,0.06436360154183038,0.0
0.1,2,8,0.3274235015752783,0.7354709677419355,0.03439292386770587,0.06605441462100024,0.24763763064959837
0.1,3,7,0.29605289667688134,0.7948645161290322,0.017028650744944043,0.06772941452036281,0.26104068801669905
0.1,4,6,0.289874182934723,0.7771129032258065,0.013636939530433784,0.07056568065818225,0.2578050848565977
0.1,5,5,0.286762542346714,0.7161045161290323,0.013783581959411473,0.07529024651065583,0.2542286124617727
0.1,6,4,0.279283468625839,0.7811967741935484,0.01158644212986667,0.08211116443152175,0.24464404712593452
0.1,7,3,0.2808925746915926,0.7043907834101383,0.009096726406508564,0.08712725493171156,0.23459247428203173
0.1,8,2,0.24616760755273806,0.6780612903225807,0.00909325075068762,0.10350284867852282,0.21886743259298097
0.1,9,1,0.17219907309913324,0.5386609318996416,0.007997088636305296,0.12537875083387204,0.19902021066863346
0.2,1,9,0.2769808645303509,0.06147096774193548,0.2533136710549639,0.049060944403709714,0.0
0.2,2,8,0.38569703628169805,0.6822354838709677,0.04290556212008874,0.05314999717036485,0.24826689739882407
0.2,3,7,0.372638535920865,0.7907333333333334,0.017754979227008586,0.05402494570560309,0.27862220752356226
0.2,4,6,0.390609281283884,0.8096967741935484,0.013661826173344636,0.0559769506751881,0.28283465139172387
0.2,5,5,0.3952625459281086,0.80084,0.01140256082979212,0.060536203948734116,0.28005854771005506
0.2,6,4,0.3304936247571207,0.760852688172043,0.011159859135145027,0.07072523655866673,0.2494930039912075
0.2,7,3,0.3222657040286469,0.7182737327188939,0.010799774139182814,0.07835219379680505,0.23644371596733885
0.2,8,2,0.26227202620558404,0.632183064516129,0.009292418300730503,0.09309791872245467,0.21583236428294916
0.2,9,1,0.24617772750901282,0.5746143369175627,0.008408646317222305,0.11406216207867308,0.20381292574087947
0.3,1,9,0.33575289831024285,0.03700645161290322,0.2652715894580169,0.03802438856625198,0.0
0.3,2,8,0.4457978390062164,0.6477548387096774,0.04782530900017381,0.04399191086178606,0.24575200718871862
0.3,3,7,0.4592735434039101,0.7626,0.018829519219686997,0.04256485558021163,0.29062757905839504
0.3,4,6,0.4001327410034639,0.7464758064516129,0.015669192905617545,0.04891171073076554,0.2661094706696622
0.3,5,5,0.43063005812174593,0.7735987096774194,0.01350779959554491,0.05247637540369647,0.2730973282926238
0.3,6,4,0.40042121653914087,0.7462634408602151,0.011043585791155294,0.05960171632193181,0.25638973329756687
0.3,7,3,0.38705132268505427,0.6552912442396313,0.01075919149117371,0.06463671239665889,0.24381945983410325
0.3,8,2,0.33328921504909376,0.6942032258064517,0.009356324467044827,0.08280650879201669,0.22014841679931113
0.3,9,1,0.2735340640667902,0.5892623655913979,0.00946983912674063,0.10422176149688685,0.20374100435194703
0.4,1,9,0.4026156516598438,0.05354193548387096,0.2684069265848689,0.031203620041965884,0.0
0.4,2,8,0.5002077675411823,0.6267806451612903,0.041037068268391236,0.03620967805904526,0.253835034365539
0.4,3,7,0.49110952841900096,0.7428967741935484,0.01913133719864266,0.036590988939854546,0.2826672689273379
0.4,4,6,0.48778663905733516,0.7465967741935484,0.015359499609541269,0.039501884291857595,0.27575667769318774
0.4,5,5,0.49348123391628523,0.7711277419354838,0.012207109039194083,0.043786028151448816,0.2729218020935372
0.4,6,4,0.44915923253984724,0.7682989247311828,0.010784978154415002,0.052385392537433496,0.25325970942811094
0.4,7,3,0.4109208916946,0.6722027649769585,0.009319222122955308,0.05801424161774167,0.2357007627317879
0.4,8,2,0.3491083179989484,0.6211233870967743,0.009210773817762405,0.07226687358383313,0.21881608366427202
0.4,9,1,0.22941382788879433,0.5199799283154121,0.00885663812499437,0.08635927172939022,0.19706532318660117
0.5,1,9,0.4601561049052118,0.02505806451612903,0.27778414673699164,0.024941884335218732,0.0
0.5,2,8,0.5308693247250521,0.6577999999999999,0.0352096838730234,0.03160659235109538,0.24718201058469594
0.5,3,7,0.5330568940418681,0.7316989247311828,0.018313719888300228,0.03099519513698314,0.27726424331781363
0.5,4,6,0.5475002527201551,0.7210322580645161,0.017850917242299362,0.032998682250940894,0.27850257669054707
