Probability,Num Builders,Num Searchers,Avg Bid,Avg Rebate,Avg Reward Builders,Avg Reward Searchers,Avg Reward Proposers
0.2,1,9,0.25740275538800095,0.05458064516129032,0.2469046796350852,0.04863191780795245,0.0
0.2,1,9,0.3261928936363935,0.0033548387096774194,0.30077755112155524,0.04510988930862702,0.0
0.2,1,9,0.30962686240659126,0.0,0.2975343242999751,0.04735312836719412,0.0
0.2,1,9,0.2851559364143648,0.0232258064516129,0.2736808799043371,0.04941409238244718,0.0
0.2,1,9,0.2703798892896853,0.02567741935483871,0.265444534272133,0.050505179076435855,0.0
0.2,1,9,0.3545020588129313,0.15432258064516124,0.2649360690303256,0.04587278071069188,0.0
0.2,1,9,0.3207759775357233,0.04748387096774192,0.2898344870326778,0.04711168024330115,0.0
0.2,1,9,0.3085273855674585,0.03374193548387096,0.28030988280845365,0.045784841130470925,0.0
0.2,1,9,0.30830177679901216,0.02058064516129032,0.27792036678380827,0.04527643179742809,0.0
0.2,1,9,0.28969324554029685,0.015096774193548384,0.2685562114576145,0.04667544077834403,0.0
0.2,2,8,0.43762952701413904,0.6110645161290323,0.07578032574785314,0.059991346522588744,0.2526196917305498
0.2,2,8,0.36259708919255945,0.5770322580645162,0.07961611439520155,0.06683301297512954,0.20984515931787845
0.2,2,8,0.3900137384275802,0.47635483870967743,0.08415144883927911,0.06040782904923754,0.23520269434413144
0.2,2,8,0.33517715354837185,0.5095806451612903,0.046510147603169766,0.06367691779203316,0.22357189665468605
0.2,2,8,0.33931454527690197,0.6440645161290321,0.05759174831783261,0.06682974746723147,0.20018870535198416
0.2,2,8,0.40541084322497123,0.6243870967741936,0.054048455233628404,0.05851556156380619,0.2399525425498324
0.2,2,8,0.40108320164633493,0.7879677419354837,0.03886482228286816,0.06716612829954971,0.23999326448263966
0.2,2,8,0.35588231154228733,0.5646774193548387,0.06960641768637248,0.0623555548136425,0.21244011891089712
0.2,2,8,0.33969928688784673,0.6261612903225807,0.04409710330069413,0.06645079305214237,0.22482424654800448
0.2,2,8,0.3753320447470048,0.5693548387096774,0.05968981831294639,0.0626725432177808,0.2317254662992738
0.2,3,7,0.368810591312827,0.7409462365591397,0.030116474901996915,0.06773051608898735,0.28049864405091207
0.2,3,7,0.3740674970616268,0.7697849462365592,0.01734185877121387,0.06560545562254502,0.2841108388731754
0.2,3,7,0.2932484797312961,0.6960860215053764,0.03190692890288701,0.06950147418216131,0.24338008328466548
0.2,3,7,0.3261632754602176,0.6143655913978494,0.036475656462470286,0.06791048165254898,0.26298007087061326
0.2,3,7,0.2743639074975215,0.6904731182795699,0.021356326863038382,0.07056633309890875,0.2304938397464535
0.2,3,7,0.3461610178526195,0.790731182795699,0.021291700580052194,0.0677329623019265,0.2702827604386881
0.2,3,7,0.327097499430879,0.7644301075268817,0.013367972535063603,0.0695268248075993,0.2530431360080879
0.2,3,7,0.3051197587814895,0.6203225806451612,0.0336040862453742,0.06765080418870986,0.24889279625804842
0.2,3,7,0.3796651717449482,0.74047311827957,0.025272500907735116,0.06493296186295448,0.28302462340729667
0.2,3,7,0.3085529721363881,0.6868817204301076,0.02457718627966518,0.06935814055907029,0.23978639936452203
0.2,4,6,0.30272139121013825,0.7223709677419357,0.018747800144813604,0.06918707047306137,0.2622508049451119
0.2,4,6,0.3270056185915842,0.703274193548387,0.025790464480291427,0.06908434132866602,0.27878178425270506
0.2,4,6,0.32626641128557005,0.7719677419354839,0.016811881146036253,0.0729788783991374,0.2725820895421011
0.2,4,6,0.31445893130690616,0.7987096774193547,0.01696161746018825,0.0710029719560163,0.262923928870618
0.2,4,6,0.26500287976800446,0.858983870967742,0.007404854698324985,0.07832787705256336,0.2444341106565051
0.2,4,6,0.3339643967235769,0.7081774193548388,0.024795068723788404,0.06637783969956837,0.2814251908879064
0.2,4,6,0.3249399216807118,0.8887903225806454,0.007228257112767928,0.07300446514180417,0.2700434955281886
0.2,4,6,0.3436994987657114,0.7661129032258065,0.01640341614309623,0.07005238356178063,0.2851788433012574
0.2,4,6,0.3953265268289389,0.9126129032258068,0.005146618153220388,0.06983815423568233,0.31011735882373476
0.2,4,6,0.2911227460645197,0.7150161290322581,0.023592753048736186,0.07015184950989369,0.2563914416471813
0.2,5,5,0.3120337309520952,0.7923870967741936,0.014048319080844258,0.07724002294758141,0.270934103175785
0.2,5,5,0.34102207087671266,0.8146451612903226,0.011129262806333433,0.073511345541304,0.27707401115338814
0.2,5,5,0.33576919160885654,0.7954451612903226,0.01376476729341216,0.07154982934368985,0.27934514181648107
0.2,5,5,0.25358650887698947,0.7801935483870969,0.01195455573103004,0.08161265992584887,0.24226957116268175
0.2,5,5,0.3521416421873952,0.8600387096774195,0.008934092384072053,0.07366935337098236,0.27826345214307663
0.2,5,5,0.3160861306107852,0.8206322580645161,0.0070883396693896825,0.07420261910965435,0.2650272320507179
0.2,5,5,0.315472690116198,0.796141935483871,0.009068402893065314,0.07678031239793107,0.26262274445204276
0.2,5,5,0.31773631403222474,0.7739741935483871,0.010685191355455651,0.0770477377437019,0.2736722584356438
0.2,5,5,0.32079337007405434,0.8193290322580644,0.009319529961802513,0.07817536843619305,0.27573103545744443
0.2,5,5,0.2641505317688603,0.7841806451612904,0.007477188940694935,0.07770430010719358,0.2424045961885805
0.2,6,4,0.3674180147834765,0.8094946236559138,0.007015163628396894,0.07615192807547579,0.2733226149220269
0.2,6,4,0.35861530285346505,0.6931720430107527,0.011842487939253792,0.07576783944083235,0.27439101083927164
